rank,address,pnl,volume,username,verified
1,0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,394791.51,2091098.34,0x2a2C53bD278c04DA9962Fcf96490E17F3DfB9Bc1-1772479215461,False
2,0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,196649.34,577186.84,kch123,False
3,0x03e8a544e97eeff5753bc1e90d46e5ef22af1697,159354.36,130362.27,weflyhigh,False
4,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,146252.87,11876.28,0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,False
5,0x07b8e44b90cc3e91b8d5fe60ea810d2534638e25,114534.07,435862.5,joosangyoo,False
6,0x8f037a2e4fd49d11267f4ab874ab7ba745ac64d6,111552.59,271863.46,Anointed-Connect,False
7,0x8a6c6811e8937f9e8afc1b9249fa540262c30b3f,94048.14,458687.85,0x8a6C6811e8937F9E8aFc1b9249FA540262c30b3f-1771776258725,False
8,0xada56a3f1a9d7d3fe7ec8cbcaa0865109c57db70,91747.75,414476.96,GetaLife,False
9,0xead152b855effa6b5b5837f53b24c0756830c76a,91300.89,893549.19,elkmonkey,False
10,0xe20a1538293903b746ffe6c4ce2d5c3c0300e469,90332.28,400987.47,gopatriots,False
11,0xd106952ebf30a3125affd8a23b6c1f30c35fc79c,83971.13,0.0,Herdonia,False
12,0xdb2223cc5202a4718c3069f577ec971f71c96478,56313.09,33384.22,FTWUTB,False
13,0x7af9bac9328c7cec1f9d07786e59576b608db408,55583.37,30952.3,0x7AF9Bac9328c7ceC1F9D07786E59576b608Db408-1771787783556,False
14,0xee613b3fc183ee44f9da9c05f53e2da107e3debf,45442.86,848257.61,sovereign2013,False
15,0xd6966eb1ae7b52320ba7ab1016680198c9e08a49,42458.11,163102.7,EIf,False
16,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,42141.78,229379.24,ImJustKen,True
17,0x4435a170c507aa2c7e7e32859b4adcac64c20840,40575.43,0.0,qqzhi4527,False
18,0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,40446.33,607916.5,0p0jogggg,False
19,0xe2cf7f3715640bdda625974ab3d3c83495edd1e7,37421.32,134207.38,3111111111111333333333313,False
20,0xbb04b21ed2cefd4d9d0320f6585ff575367d648c,34567.18,0.0,fourfive,False
21,0x033f0346c007323030eb420305ffede19a95618e,34563.15,81455.35,TheVeryGoodCow,False
22,0x67bb64fac5252df3f61ee2d91a4b1350e40eb6ef,33925.47,1900.23,Blueberry1337,False
23,0x72b40c0012682ef52228ad53ef955f9e4f177d67,33807.88,66204.29,nz7,False
24,0xf19d7d88cf362110027dcd64750fdd209a04276f,33665.36,188712.32,huhaoli,False
25,0xafbacaeeda63f31202759eff7f8126e49adfe61b,33402.39,263450.28,SammySledge,False
26,0x96489abcb9f583d6835c8ef95ffc923d05a86825,30532.5,326298.51,anoin123,False
27,0xf28e42d20e4826f2b10a24bc952001697947cab2,28448.03,48801.82,ethanaz,False
28,0xabb89972b21b304c1bed2bf26f35c8741ac9bba3,27000.53,199061.33,Feromont,False
29,0xb45a797faa52b0fd8adc56d30382022b7b12192c,24102.07,415830.58,bcda,False
30,0x6e82b93eb57b01a63027bd0c6d2f3f04934a752c,23217.86,0.0,0x24357454d8d1a0cc93a6c25fd490467372bc2454,False
31,0xb6ee66318b42ea6a058d217fe500effd6df10bd0,23083.7,52147.33,11owen,False
32,0x842ac934cfff1467f27c167c42c318001e407422,23081.32,83565.4,ChompChomp888,False
33,0xfce17e0395c790ad16f5a0b7fea062120f8e9ce7,22624.99,43108.87,K9O,False
34,0xecfce3118f6f085a96c7d1a8bee42af34cb9cd05,22508.1,102923.0,lionss,False
35,0xcbea32005dcba234e23882aac4e6fd3c0baaa2c0,21379.36,226594.5,3dhe89enk,False
36,0xdcafb6a5e96ae895a569e4b862a58bea1d21e271,21004.81,63845.24,0xDcafB6a5E96ae895a569e4B862A58BEa1D21e271-1769691817051,False
37,0xaa075924e1dc7cff3b9fab67401126338c4d2125,19721.0,9760.82,rustin,False
38,0x6ade597c0e2b43c0bf3542cada8a5e330d73f5b0,19174.75,71999.75,TheOnlyHuman,False
39,0xb55216ed55337cf9443139e4e5cace56426694a8,19162.13,138229.96,KirksCousin,False
40,0xd7a58948a0aba3015f057ab4ecc5bef039e47c26,18694.64,185686.2,Sensei2,False
41,0xf1649daae29c44bdb406a4dbb7f1748eac398fa4,18079.7,7992.57,Jargs,False
42,0xf588b19afe63e1aba00f125f91e3e3b0fdc62b81,16838.39,478342.47,RandomPunter,False
43,0xf68a281980f8c13828e84e147e3822381d6e5b1b,16018.53,43923.97,KingOfRats,False
44,0x2707f2e693b3d20b5a17b603c532571108140afa,15941.1,154704.22,Predictandbreathe,False
45,0xe701b372276d03e52a4020622d6c978d4e91dcc2,15730.5,76148.02,0xE701B372276D03e52a4020622D6C978D4e91DcC2-1772591136009,False
46,0x68146921df11eab44296dc4e58025ca84741a9e7,15726.0,1089163.83,LynxTitan,False
47,0x7d92fd69504bfd391162e1442cb784c0af408676,15301.91,47300.92,mikesports,False
48,0x751a2b86cab503496efd325c8344e10159349ea1,15183.18,333734.65,Sharky6999,False
49,0x9e16523fd812d1d3d6fa7a2bc6763a07ed5b0127,14987.28,0.0,cd20,False
50,0x32ed517a571c01b6e9adecf61ba81ca48ff2f960,14946.85,428871.89,sportmaster777,False